"Step","base_no_upsampling - train/loss","base_no_upsampling - train/loss__MIN","base_no_upsampling - train/loss__MAX"
"334","5.2073","5.2073","5.2073"
"336","5.2463","5.2463","5.2463"
"338","5.2566","5.2566","5.2566"
"340","5.2758","5.2758","5.2758"
"342","5.2491","5.2491","5.2491"
"344","5.2638","5.2638","5.2638"
"346","5.1856","5.1856","5.1856"
"348","5.1719","5.1719","5.1719"
"350","5.1812","5.1812","5.1812"
"352","5.1667","5.1667","5.1667"
"354","5.1878","5.1878","5.1878"
"356","5.2042","5.2042","5.2042"
"358","5.1821","5.1821","5.1821"
"360","5.131","5.131","5.131"
"362","5.1211","5.1211","5.1211"
"364","5.1768","5.1768","5.1768"
"366","5.1114","5.1114","5.1114"
"368","5.1505","5.1505","5.1505"
"370","5.1272","5.1272","5.1272"
"372","5.1713","5.1713","5.1713"
"374","5.1094","5.1094","5.1094"
"376","5.0565","5.0565","5.0565"
"378","5.0498","5.0498","5.0498"
"380","5.0395","5.0395","5.0395"
"382","5.1153","5.1153","5.1153"
"384","5.0882","5.0882","5.0882"
"386","5.038","5.038","5.038"
"388","5.1093","5.1093","5.1093"
"390","5.0587","5.0587","5.0587"
"392","5.0436","5.0436","5.0436"
"394","5.0381","5.0381","5.0381"
"396","4.9922","4.9922","4.9922"
"398","5.0488","5.0488","5.0488"
